,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
102,Nikolskoye,0,RU,1561588515,82,59.7,30.79,57.99,4.34
103,Hambantota,75,LK,1561588517,100,6.12,81.12,78.8,5.82
104,Ewa Beach,90,US,1561588518,69,21.32,-158.01,82.4,14.07
105,Beloha,0,MG,1561588519,84,-25.17,45.06,65.21,11.52
106,Kaitangata,0,NZ,1561588520,69,-46.28,169.85,48.0,1.99
107,Mar del Plata,86,AR,1561588521,72,-46.43,-67.52,38.39,10.16
108,Kapaa,90,US,1561588321,83,22.08,-159.32,78.8,13.87
109,Tual,51,ID,1561588527,84,-5.67,132.75,78.53,22.17
110,Georgiyevka,76,RU,1561588528,80,52.25,40.45,59.09,9.04
111,Vila Velha,0,BR,1561588529,74,-3.71,-38.6,80.6,10.29
112,Ayan,0,IR,1561588530,65,38.23,44.7,55.31,2.15
113,Coihueco,90,CL,1561588275,100,-36.63,-71.83,55.0,12.75
114,Saint George,40,GR,1561588532,61,39.45,22.34,80.01,1.25
115,Nosy Varika,13,MG,1561588533,92,-20.58,48.53,65.57,8.08
116,Tororo,76,UG,1561588535,92,0.69,34.18,63.05,4.03
117,Husavik,0,CA,1561588536,30,50.56,-96.99,81.0,3.0
118,Raahe,75,FI,1561588540,82,64.68,24.47,55.4,4.7
119,Klaksvik,19,FO,1561588541,93,62.23,-6.59,50.0,4.7
120,Seymour,0,US,1561588542,51,33.59,-99.26,91.0,11.01
121,Muisne,40,EC,1561588544,83,0.61,-80.02,80.6,5.82
122,Padang,63,ID,1561588435,75,-0.92,100.36,81.23,6.85
123,Lavrentiya,100,RU,1561588546,98,65.58,-170.99,48.47,11.14
124,Airai,9,TL,1561588547,58,-8.93,125.41,73.67,3.36
125,Chumikan,0,RU,1561588548,48,54.72,135.31,61.43,1.59
126,Vaasa,75,FI,1561588549,93,63.1,21.62,55.4,3.36
127,Bethel,90,US,1561588383,82,60.79,-161.76,66.2,14.99
128,New Norfolk,0,AU,1561588552,86,-42.78,147.06,43.0,12.75
129,Cherskiy,22,RU,1561588553,33,68.75,161.3,66.29,11.12
130,Saint-Joseph,0,FR,1561588554,65,43.56,6.97,84.2,5.82
131,Deming,1,US,1561588555,9,32.27,-107.76,96.8,5.82
132,Tshikapa,43,CD,1561588557,38,-6.42,20.79,69.89,2.19
133,Buraydah,0,SA,1561588558,30,26.33,43.97,86.0,3.36
134,Fairlie,40,US,1561588559,52,33.31,-95.96,91.4,5.82
135,Hovd,75,NO,1561588560,81,63.83,10.7,53.01,13.87
136,Mansa,40,IN,1561588561,79,23.43,72.66,84.2,4.7
137,Ilulissat,20,GL,1561588562,75,69.22,-51.1,44.6,11.41
138,Naze,100,NG,1561588563,98,5.43,7.07,71.33,2.42
139,San Patricio,0,PY,1561588565,75,-26.98,-56.83,44.33,5.14
140,Fortuna,90,US,1561588566,49,40.6,-124.16,69.8,11.41
141,Wanning,0,AT,1561588567,65,48.64,13.53,77.0,2.24
142,Wajima,100,JP,1561588568,93,37.4,136.9,69.89,16.33
143,Luangwa,0,MZ,1561588569,81,-15.62,30.4,58.19,4.45
144,Andros Town,40,BS,1561588570,62,24.73,-77.79,87.8,6.93
145,Turayf,0,SA,1561588572,28,31.68,38.65,84.2,13.87
146,Tezu,100,IN,1561588573,98,27.93,96.16,72.41,4.88
147,Harlingen,90,NL,1561588423,82,53.18,5.41,60.01,12.75
148,Borodyanka,100,UA,1561588575,56,50.64,29.92,73.0,6.71
149,Alexandria,4,RO,1561588576,82,43.97,25.33,69.53,3.31
150,Kiruna,100,SE,1561588577,75,67.86,20.23,46.4,5.82
151,Deputatskiy,0,RU,1561588579,27,69.3,139.9,73.13,7.78
152,Souillac,0,FR,1561588580,62,45.6,-0.6,84.2,6.93
153,Aksu,0,KZ,1561588581,93,52.04,76.93,62.6,4.47
154,Anloga,72,GH,1561588585,87,5.79,0.9,76.55,9.86
155,Campo Maior,87,BR,1561588586,66,-4.83,-42.16,76.55,3.31
156,Ilheus,20,BR,1561588588,100,-14.79,-39.05,73.4,1.12
157,Ambon,0,FR,1561588589,88,47.55,-2.56,77.0,11.41
158,Ponta do Sol,78,BR,1561588590,57,-20.63,-46.0,66.47,4.43
159,Henties Bay,57,NA,1561588591,93,-22.12,14.28,55.99,5.99
160,Hirara,75,JP,1561588592,83,24.8,125.28,82.4,13.87
161,Nouadhibou,0,MR,1561588593,78,20.93,-17.03,71.6,16.11
162,Paita,0,PE,1561588594,290,-5.09,-81.11,62.6,14.99
163,Torbay,20,CA,1561588596,71,47.66,-52.73,54.0,5.82
164,Novyy Urengoy,18,RU,1561588597,66,66.08,76.63,47.39,14.76
165,Sanchor,55,IN,1561588598,66,24.76,71.77,86.99,14.79
166,Pevek,10,RU,1561588599,85,69.7,170.27,33.89,15.05
167,Benguela,66,AO,1561588600,84,-12.58,13.4,69.17,16.02
168,Guerrero Negro,100,MX,1561588601,82,27.97,-114.04,64.49,13.0
169,Saskylakh,100,RU,1561588603,75,71.97,114.09,52.25,17.45
170,Katsuura,75,JP,1561588604,100,33.93,134.5,75.2,25.28
171,Izhma,63,RU,1561588605,64,65.01,53.91,50.45,2.89
172,Ahipara,0,NZ,1561588606,66,-35.17,173.16,56.03,15.59
173,Saint-Philippe,75,CA,1561588607,65,45.36,-73.48,80.01,13.87
174,Iqaluit,20,CA,1561588380,81,63.75,-68.52,44.6,16.11
175,Olavarria,90,AR,1561588552,57,-36.89,-60.32,46.99,3.0
176,Salihorsk,99,BY,1561588610,95,52.79,27.54,68.27,8.97
177,Santa Vitoria do Palmar,41,BR,1561588611,71,-33.52,-53.37,46.13,6.58
178,Grand Gaube,75,MU,1561588613,94,-20.01,57.66,73.4,13.87
179,Ben Tre,100,VN,1561588614,92,10.24,106.37,78.53,8.28
180,Moose Factory,40,CA,1561588615,64,51.26,-80.61,71.6,10.29
181,Pekan,75,MY,1561588616,100,3.49,103.39,75.0,2.1
182,Cidreira,16,BR,1561588617,57,-30.17,-50.22,47.21,2.64
183,Esperance,90,AU,1561588618,87,-33.86,121.89,55.4,14.99
184,Buritis,0,BR,1561588620,48,-15.62,-46.42,67.55,1.52
185,Houma,99,CN,1561588621,42,35.63,111.36,77.09,5.73
186,Sabang,99,PH,1561588622,81,13.8,121.11,80.51,6.67
187,Hofn,63,IS,1561588623,83,64.25,-15.21,44.33,13.0
188,Mahebourg,75,MU,1561588624,94,-20.41,57.7,73.4,13.87
189,Tura,100,RU,1561588625,62,64.27,100.22,68.09,2.21
190,Georgetown,40,GY,1561588627,78,6.8,-58.16,84.2,6.93
191,Oktyabrskiy,40,RU,1561588628,93,55.61,37.97,59.0,2.24
192,Aswan,0,EG,1561588630,17,24.09,32.9,100.4,9.17
193,Khandyga,0,RU,1561588631,39,62.65,135.58,74.03,2.84
194,Tocopilla,74,CL,1561588632,84,-22.09,-70.2,58.91,9.64
195,Corrente,0,BR,1561588633,51,-17.45,-44.68,66.83,3.13
196,Coihaique,90,CL,1561588634,86,-45.58,-72.07,42.8,3.31
197,Labuhan,8,ID,1561588635,77,-2.54,115.51,77.09,1.01
198,Kokkola,75,FI,1561588637,100,63.84,23.13,55.99,5.82
199,Sitka,49,US,1561588638,46,37.17,-99.65,91.0,17.0
200,Nanyuki,0,KE,1561588639,91,0.01,37.07,54.41,7.45
201,Kurmanayevka,57,RU,1561588640,83,52.51,52.07,51.89,2.62
202,Cubulco,20,GT,1561588641,54,15.11,-90.63,78.8,20.8
203,Uvalde,1,US,1561588642,52,29.21,-99.79,91.99,6.93
204,Pisco,16,PE,1561588644,30,-13.71,-76.2,71.6,5.82
205,Nhulunbuy,66,AU,1561588645,94,-12.18,136.78,68.0,15.05
206,Zeya,59,RU,1561588646,44,53.74,127.27,66.47,5.3
207,Montgomery,1,US,1561588647,58,32.37,-86.3,91.0,3.36
208,Brae,90,GB,1561588648,87,60.4,-1.35,51.8,11.41
209,College,75,US,1561588650,20,64.86,-147.8,77.0,4.7
210,Lahij,100,YE,1561588651,41,13.06,44.88,92.57,7.74
211,Dunda,0,IN,1561588652,50,30.62,78.32,70.43,9.22
212,Sao Filipe,0,CV,1561588653,85,14.9,-24.5,74.39,22.53
213,Taltal,0,CL,1561588654,85,-25.41,-70.49,50.45,3.31
214,Tahe,99,CN,1561588655,51,52.34,124.71,62.87,6.02
215,Qasigiannguit,20,GL,1561588656,75,68.82,-51.19,44.6,11.41
216,Leningradskiy,59,RU,1561588658,82,69.38,178.42,35.87,13.38
217,Chikwawa,22,MW,1561588659,95,-16.03,34.79,58.73,1.95
218,Tasiilaq,100,GL,1561588660,93,65.61,-37.64,42.8,2.24
219,Evensk,33,RU,1561588661,46,61.92,159.24,61.25,20.47
220,Sirnak,0,TR,1561588662,22,37.52,42.46,78.35,4.88
221,Grants Pass,20,US,1561588509,39,42.44,-123.33,71.6,11.41
222,Hamilton,20,CA,1561588456,44,43.26,-79.87,82.4,13.87
223,Port Lincoln,31,AU,1561588636,61,-34.72,135.86,60.53,30.89
224,Zlobin,0,HR,1561588667,57,45.29,14.65,80.6,3.36
225,Lazaro Cardenas,75,MX,1561588668,15,28.39,-105.62,93.2,6.93
226,Russell,1,US,1561588669,32,38.9,-98.86,95.0,16.11
227,Arroyo,75,BO,1561588670,78,-11.08,-66.08,80.6,11.41
228,Vostok,100,RU,1561588666,99,46.45,135.83,58.91,1.61
229,Sicuani,12,PE,1561588673,56,-14.27,-71.23,38.39,7.63
230,Grindavik,90,IS,1561588674,100,63.84,-22.43,51.8,16.11
231,Lexington,1,US,1561588462,48,38.05,-84.5,89.6,2.89
232,Mopti,0,ML,1561588676,34,14.49,-4.19,96.8,11.41
233,Kaka,0,TM,1561588677,14,37.35,59.62,84.83,7.11
234,Tupi Paulista,100,BR,1561588678,91,-21.38,-51.58,66.65,4.94
235,Atambua,7,ID,1561588679,67,-9.11,124.89,75.83,14.56
236,Hokitika,0,NZ,1561588681,62,-42.72,170.96,49.01,5.44
237,Seoul,75,KR,1561588549,83,37.57,126.98,73.4,1.12
238,Kurchum,0,KZ,1561588683,60,48.57,83.65,56.39,6.4
239,Tucupita,25,VE,1561588684,81,9.06,-62.05,77.27,9.66
240,Hays,1,US,1561588685,43,38.88,-99.33,95.0,17.22
241,Vuktyl,0,RU,1561588686,71,63.86,57.31,47.57,2.46
242,Kedgwick,100,CA,1561588687,78,47.65,-67.35,60.17,8.05
243,Nacala,2,MZ,1561588689,83,-14.56,40.69,65.39,7.81
244,Hualmay,4,PE,1561588690,85,-11.1,-77.61,62.87,14.03
245,Camocim,71,BR,1561588691,75,-2.9,-40.84,75.83,7.43
246,Fairbanks,75,US,1561588659,20,64.84,-147.72,79.0,4.7
247,Faanui,1,PF,1561588694,73,-16.48,-151.75,80.51,6.55
248,Yellowknife,75,CA,1561588622,67,62.45,-114.38,64.0,19.46
249,Beringovskiy,91,RU,1561588696,75,63.05,179.32,52.97,4.07
250,Sumbawanga,27,TZ,1561588697,74,-7.95,31.62,52.97,4.07
251,Vao,100,EE,1561588698,98,59.1,26.19,54.95,2.95
252,Mezhdurechensk,7,RU,1561588699,75,53.69,88.07,59.63,1.92
253,Cayenne,20,GF,1561588700,83,4.94,-52.33,78.8,4.7
254,Te Anau,7,NZ,1561588664,78,-45.41,167.72,45.05,0.6
255,Port Macquarie,40,AU,1561588437,100,-31.43,152.91,57.99,5.82
256,Kavieng,89,PG,1561588704,73,-2.57,150.8,84.11,8.41
257,Adre,100,TD,1561588714,54,13.47,22.2,78.71,10.29
258,Cruzeiro do Sul,75,BR,1561588715,66,-7.63,-72.67,84.2,4.7
259,Yerbogachen,28,RU,1561588716,50,61.28,108.01,72.59,2.82
260,De-Kastri,24,RU,1561588718,65,51.48,140.77,50.99,7.27
261,Lorengau,90,PG,1561588719,79,-2.02,147.27,83.21,6.35
262,Constitucion,40,MX,1561588683,12,23.99,-104.67,87.01,19.46
263,Yanam,43,IN,1561588721,80,16.73,82.22,81.95,8.95
264,Jalu,0,LY,1561588722,63,29.03,21.55,79.25,8.57
265,Jutai,62,BR,1561588663,97,-1.71,-47.89,73.67,3.06
266,Cabadiangan,90,PH,1561588724,78,10.45,123.98,82.4,3.36
267,Lanxi,68,CN,1561588725,99,29.21,119.46,80.01,0.2
268,Coquimbo,0,CL,1561588727,76,-29.95,-71.34,62.01,9.17
269,Bonthe,100,SL,1561588728,90,7.53,-12.5,77.45,7.05
270,Paramonga,56,PE,1561588729,90,-10.68,-77.82,61.07,12.73
271,Firozpur,40,IN,1561588730,57,30.96,74.61,78.8,5.82
272,Arlit,48,NE,1561588731,22,18.74,7.39,94.01,8.43
273,Juneau,75,US,1561588732,53,58.3,-134.42,75.2,12.75
274,Langham,40,CA,1561588734,40,52.36,-106.96,73.4,8.05
275,Auki,52,NG,1561588735,62,12.18,6.51,77.09,13.18
276,Hasaki,75,JP,1561588736,88,35.73,140.83,77.0,6.93
277,Vyselki,42,RU,1561588737,46,45.58,39.66,73.31,8.68
278,Mayo,40,CA,1561588738,19,63.59,-135.9,71.6,5.82
279,Aykhal,0,RU,1561588739,59,65.95,111.51,64.4,2.24
280,Rwamagana,100,RW,1561588740,92,-1.95,30.43,61.79,3.15
281,Jasper,20,US,1561588576,36,33.83,-87.28,95.0,4.38
282,Narsaq,100,GL,1561588743,93,60.91,-46.05,48.2,6.93
283,Chapais,90,CA,1561588744,82,49.78,-74.86,64.4,11.41
284,Cidahu,0,ID,1561588745,87,-6.55,106.01,72.41,1.5
285,Esso,96,RU,1561588746,62,55.93,158.7,48.29,8.68
286,Tawang,92,BT,1561588747,97,27.59,91.87,57.29,2.68
287,Avera,1,US,1561588749,51,33.19,-82.53,89.6,4.7
288,La Palma,16,CO,1561588750,84,5.36,-74.39,73.85,2.93
289,Nemuro,89,JP,1561588751,92,43.32,145.57,52.61,1.59
290,Ostrovnoy,100,RU,1561588753,79,68.05,39.51,51.35,11.41
291,Kovernino,34,RU,1561588754,97,57.13,43.81,47.03,2.86
292,Ankazobe,75,MG,1561588755,82,-18.32,47.12,59.0,3.36
293,Surt,0,LY,1561588756,88,31.21,16.59,75.83,4.12
294,Olinda,59,AU,1561588757,76,-37.84,145.39,53.01,11.41
295,Sola,100,TZ,1561588634,65,-3.17,33.8,69.17,2.46
296,Zhigansk,0,RU,1561588759,50,66.77,123.37,73.31,9.75
297,Fremont,40,US,1561588678,60,37.55,-121.99,75.0,16.11
298,Fuling,100,CN,1561588762,91,29.71,107.39,72.95,2.19
299,Anadyr,90,RU,1561588763,93,64.73,177.51,44.6,20.13
300,San Policarpo,100,PH,1561588764,82,12.18,125.51,80.51,3.44
301,Tommot,88,RU,1561588765,58,58.97,126.27,64.13,5.75
302,Namatanai,90,PG,1561588766,80,-3.66,152.44,81.41,13.22
303,Nyrob,0,RU,1561588767,73,60.74,56.73,43.79,2.44
304,Byron Bay,75,AU,1561588769,93,-28.65,153.62,64.99,6.93
305,Sal Rei,75,CV,1561588770,78,16.18,-22.92,75.2,25.28
306,Salalah,90,OM,1561588690,88,17.01,54.1,82.4,10.29
307,Balkanabat,41,TM,1561588772,25,39.51,54.36,91.13,17.67
308,Zhezkazgan,99,KZ,1561588773,63,47.8,67.71,70.43,7.31
309,Kudahuvadhoo,90,MV,1561588774,72,2.67,72.89,82.49,2.04
310,Luyang,93,CN,1561588775,94,31.88,117.26,71.6,4.47
311,Rosita,100,NI,1561588777,97,13.92,-84.4,74.75,2.42
312,Rypefjord,75,NO,1561588778,81,70.63,23.67,46.4,27.51
313,Strezhevoy,90,RU,1561588779,100,60.73,77.6,50.0,4.47
314,Coahuayana,94,MX,1561588780,66,18.62,-100.35,82.85,2.19
315,Vardo,20,US,1561588781,38,39.62,-77.74,89.6,12.75
316,Homestead,75,US,1561588782,48,25.47,-80.48,89.6,8.05
317,Luanda,0,AO,1561588783,88,-8.83,13.24,69.8,5.82
318,Druzhba,100,UA,1561588785,95,52.05,33.94,64.67,3.58
319,Itarema,67,BR,1561588786,83,-2.92,-39.92,74.75,6.51
320,Yacuiba,0,AR,1561588787,62,-22.01,-63.68,59.0,9.17
321,Berlevag,0,NO,1561588788,81,70.86,29.09,48.2,13.87
322,Axim,79,GH,1561588789,87,4.87,-2.24,76.91,12.08
323,Cap-aux-Meules,75,CA,1561588790,76,47.38,-61.86,57.2,10.29
324,Viravanallur,100,IN,1561588792,84,8.7,77.53,72.77,6.78
325,Darnah,0,LY,1561588793,81,32.77,22.64,78.35,18.23
326,Cervo,50,BR,1561588794,78,-22.19,-46.24,63.23,3.62
327,Dahra,0,DZ,1561588795,61,36.25,0.85,80.6,6.93
328,Camacha,20,PT,1561588663,72,33.08,-16.33,68.0,10.29
329,Richards Bay,0,ZA,1561588797,71,-28.77,32.06,67.91,18.9
330,Upernavik,0,GL,1561588630,87,72.79,-56.15,34.25,11.05
331,Udachnyy,0,RU,1561588799,59,66.42,112.4,64.4,2.24
332,Esna,17,RO,1561588801,65,45.2,27.57,67.55,6.87
333,Sioux City,1,US,1561588668,40,42.5,-96.41,87.01,9.17
334,Great Falls,40,US,1561588803,35,47.5,-111.29,73.99,5.82
335,Isla Mujeres,75,MX,1561588804,70,21.23,-86.73,87.8,9.17
336,Nanpiao,88,CN,1561588805,32,41.1,120.75,79.07,8.46
337,Puerto Escondido,20,MX,1561588806,70,15.86,-97.07,86.0,3.36
338,Altamirano,0,AR,1561588807,68,-35.36,-58.15,53.01,9.17
339,Meridian,20,US,1561588809,17,43.61,-116.39,88.0,10.29
340,Liku,46,ID,1561588629,78,-0.73,119.89,82.13,7.83
341,Parrita,40,CR,1561588811,60,9.52,-84.33,78.8,19.46
342,Cockburn Town,51,TC,1561588789,81,21.46,-71.14,81.77,15.9
343,Diamantino,27,BR,1561588813,62,-14.4,-56.44,74.03,1.5
344,Geraldton,75,CA,1561588814,41,49.72,-86.95,75.2,14.99
345,Margate,0,AU,1561588815,86,-43.03,147.26,46.0,12.75
346,Nichinan,75,JP,1561588816,88,31.65,131.31,78.8,5.82
347,Broken Hill,0,AU,1561588804,76,-31.97,141.45,48.2,11.41
348,Cravo Norte,41,CO,1561588819,92,6.3,-70.2,77.63,5.53
349,Qaqortoq,100,GL,1561588820,93,60.72,-46.03,48.2,6.93
350,Abu Dhabi,12,AE,1561588748,56,24.47,54.37,95.0,2.24
351,Kendari,4,ID,1561588822,80,-3.99,122.52,76.73,1.7
352,Takoradi,63,GH,1561588823,95,4.89,-1.75,73.13,3.65
353,Iberia,9,PE,1561588824,64,-11.41,-69.49,77.09,2.86
354,Kathu,0,ZA,1561588825,52,-27.7,23.05,39.99,7.36
355,Yantai,86,CN,1561588827,52,37.53,121.39,82.99,5.46
356,Fomboni,17,KM,1561588828,78,-12.28,43.74,76.37,17.96
357,Saldanha,0,PT,1561588547,72,41.42,-6.55,65.03,1.03
358,Port Shepstone,36,ZA,1561588830,93,-30.74,30.45,53.33,6.58
359,Creel,90,MX,1561588582,24,27.75,-107.63,77.99,5.19
360,Balasore,100,IN,1561588832,82,21.5,86.92,81.23,7.85
361,Klyuchi,12,RU,1561588833,71,52.25,79.17,63.95,7.34
362,Pangody,100,RU,1561588834,68,65.85,74.49,46.85,14.25
363,San Remo,0,AR,1561588836,28,-31.31,-64.31,52.0,9.17
364,Teahupoo,75,PF,1561588837,70,-17.83,-149.27,84.2,10.29
365,Dalmatovo,100,RU,1561588841,78,56.26,62.94,50.63,5.08
366,Bereda,40,ES,1561588842,82,43.27,-7.54,64.4,1.12
367,Bosaso,100,SO,1561588843,72,11.28,49.18,87.53,4.52
368,Kavaratti,97,IN,1561588844,77,10.57,72.64,82.85,15.41
369,Jieshi,23,CN,1561588846,77,22.82,115.83,84.29,1.36
370,Dunedin,0,NZ,1561588750,64,-45.87,170.5,50.99,7.78
371,Matagami,99,NG,1561588848,98,9.67,8.4,68.81,3.42
372,Alice Springs,16,AU,1561588615,59,-23.7,133.88,33.8,5.82
373,Mehamn,0,NO,1561588850,81,71.03,27.85,48.2,13.87
374,Puerto Narino,75,CO,1561588851,88,-3.77,-70.38,82.4,3.36
375,Yamada,75,JP,1561588852,61,36.58,137.08,80.6,13.87
376,Valparaiso,75,US,1561588791,18,41.47,-87.06,90.0,5.75
